hscode4_text,HSCode2,TranslatedText
เส้นใยมะพร้าว เส้นใยอะบากา (ป?านมนิลาหรือมูซาเทกซิไทลิสนี) ป?านรามีและเส้นใยสิ่งทอจากพืชอื่นๆ ที่ไม่ได้ระบุหรือรวมไว้ในที่อื่น ดิบหรือผ่านกรรมวิธีแล้วแต่ไม่ได้ปั?น เส้นใยที่ไม่ได้ขนาด เศษใยสางหรือหวีและเศษของเส้นใยเหล่านี้(รวมถึงเศษด้ายและกลุ่มใยที่สางจา,53,"Coconut fibres, abaca (Manila or Musa Texylisni), ramie and other plant-based textile fibers. not specified or included elsewhere. Raw or processed but not blended? unscaled fibers Combs and waste of these fibres (including yarn waste and combed webs)."
ด้ายป่านลินิน,53,linen hemp thread
ด้ายปอกระเจาหรือด้ายทำด้วยเส้นใยสิ่งทอจากเปลือกในของต้นไม้อื่นๆ (ไม่รวมถึงป่านลินิน ป่านแท้ และป่านรามี) ตามประเภทที่ 53.03,53,"Jute thread or thread made of textile fibers from the bark of other trees. (excluding flax, true hemp and ramie hemp) of heading 53.03"
ด้ายทำด้วยเส้นใยสิ่งทอจากพืชอื่น ๆ (นอกจากด้ายป่านลินิน ด้ายปอกระเจาหรือด้ายทำด้วยเส้นใยสิ่งทอจากเปลือกในของต้นไม้อื่นๆ (ไม่รวมถึงป่านลินิน ป่านแท้ และป่านรามี) ตามประเภทที่ 53.03) รวมทั้งด้ายกระดาษ,53,"Yarn of other vegetable textile fibers (other than linen hemp yarn Jute thread or thread made of textile fibers from the bark of other trees. (excluding flax, true hemp and ramie hemp) of heading 53.03); paper yarn."
ผ้าทอทำด้วยป่านลินิน,53,Linen woven fabric
ผ้าทอทำด้วยปอกระเจาหรือเส้นใยสิ่งทอจากเปลือกในของต้นไม้อื่นๆ (ไม่รวมถึงป่านลินิน ป่านแท้ และป่านรามี) ตามประเภทที่ 53.03,53,"Woven fabrics made of jute or other textile fibers from the bark of other trees. (excluding flax, true hemp and ramie hemp) of heading 53.03"
ผ้าทอทำด้วยเส้นใยสิ่งทอที่ได้จากพืชอื่น ๆ (นอกจากผ้าทอทำด้วยป่านลินิน ผ้าทอทำด้วยปอกระเจาหรือเส้นใยสิ่งทอจากเปลือกในของต้นไม้อื่นๆ (ไม่รวมถึงป่านลินิน ป่านแท้ และป่านรามี) ตามประเภทที่ 53.03)  รวมทั้งผ้าทอทำด้วยด้ายกระดาษ,53,"Woven fabrics of other vegetable textile fibers (other than flax woven fabrics). Woven fabrics made of jute or other textile fibers from the bark of other trees. (excluding flax, true hemp and ramie hemp of heading 53.03); woven fabrics of paper yarn."
ด้ายเย็บทำด้วยใยยาวประดิษฐ์ จะจัดทำขึ้นเพื่อการขายปลีกหรือไม่ก็ตาม,54,Sewing thread made of artificial long fibers whether or not put up for retail sale
ด้ายใยยาวสังเคราะห์ (นอกจากด้ายเย็บ) ไม่ได้จัดทำขึ้นเพื่อการขายปลีก  รวมถึงใยยาวเดี่ยวสังเคราะห์ที่มีขนาดน้อยกว่า 67 เดซิเทกซ์,54,synthetic filament yarn (other than sewing thread) not put up for retail sale. including synthetic monofilaments less than 67 decitex
ด้ายใยยาวเทียม (นอกจากด้ายเย็บ) ไม่ได้จัดทำขึ้นเพื่อการขายปลีก รวมถึงใยยาวเดี่ยวเทียมที่มีขนาดน้อยกว่า 67 เดซิเทกซ์,54,artificial filament yarn (other than sewing thread) not put up for retail sale. including artificial monofilaments less than 67 decitex
ใยยาวเดี่ยวสังเคราะห์ที่มีขนาดตั้งแต่ 67 เดซิเทกซ์ขึ้นไป  และไม่มีขนาดภาคตัดขวางใดเกิน 1 มิลลิเมตร  รวมทั้งแถบและของที่คล้ายกัน  (เช่น ฟางเทียม เป็นต้น)    ทำด้วยวัตถุทอสังเคราะห์ที่มีความกว้างปรากฎไม่เกิน 5 มิลลิเมตร,54,"Synthetic monofilament with a size of 67 decitex or more and not having any cross-sectional dimension exceeding 1 mm; bands and similar articles (for example, artificial straw) of synthetic textile material, of an apparent width not exceeding 5 mm."
ใยยาวเดี่ยวเทียมที่มีขนาดตั้งแต่ 67 เดซิเทกซ์ขึ้นไปและไม่มีขนาดภาคตัดขวางใดเกิน 1 มิลลิเมตร รวมทั้งแถบและของที่คล้ายกัน (เช่น ฟางเทียม) ทำด้วยวัตถุทอเทียมที่มีความกว้างปรากฏไม่เกิน 5 มิลลิเมตร                                                                ,54,"Artificial monofilament, having a size of 67 decitex or more and having no cross-sectional dimension exceeding 1 mm; strip and similar articles (for example, artificial straw), of artificial textile materials of an apparent width not exceeding 5 mm."
เส้นใยยาวประดิษฐ์ (นอกจากด้ายเย็บ) จัดทำขึ้นเพื่อการขายปลีก,54,artificial long fiber (other than sewing thread) put up for retail sale
ผ้าทอทำด้วยด้ายใยยาวสังเคราะห์ รวมถึงผ้าทอที่ได้จากวัตถุตามประเภทที่ 54.04 (ใยยาวเดี่ยวสังเคราะห์ที่มีขนาดตั้งแต่ 67 เดซิเทกซ์ขึ้นไป และไม่มีขนาดภาคตัดขวางใดเกิน 1 มิลลิเมตร  รวมทั้งแถบและของที่คล้ายกัน (เช่น ฟางเทียม เป็นต้น) ทำด้วยวัตถุทอสังเคราะห์ที่ม,54,"Woven fabric made of synthetic filament yarn. including woven fabrics obtained from materials of heading 54.04 (synthetic monofilaments of 67 decitex or more). and not having any cross-sectional dimension exceeding 1 mm; strips and similar articles (for example, artificial straw) of synthetic textile materials"
ผ้าทอทำด้วยใยยาวเทียม  รวมถึงผ้าทอที่ได้จากวัตถุตามประเภทที่  54.05  (ใยยาวเดี่ยวเทียมที่มีขนาดตั้งแต่  67  เดซิเทกซ์ขึ้นไป  และไม่มีขนาดภาคตัดขวางใดเกิน    1 มิลลิเมตร  รวมทั้งแถบและของที่คล้ายกัน (เช่น ฟางเทียม เป็นต้น)  ทำด้วยวัตถุทอเทียมที่มีความกว้า,54,"Artificial long fiber woven fabric including woven fabrics obtained from materials of heading 54.05 (artificial monofilaments of 67 decitex or more). and not having any cross-sectional dimension exceeding 1 mm; strips and similar articles (for example, artificial straw) of artificial textile material, of width"
กลุ่มใยยาวสังเคราะห์,55,synthetic long fiber group
กลุ่มใยยาวเทียม,55,artificial long fiber group
เส้นใยสั้นสังเคราะห์ที่ไม่ได้สาง หวี หรือผ่านกรรมวิธีอย่างอื่น  สำหรับการปั่นด้าย,55,"Synthetic short fibers that have not been carded, combed or otherwise processed. for spinning"
เส้นใยเทียมที่ไม่ได้สาง ไม่ได้หวี หรือไม่ได้ผ่านกรรมวิธีอย่างอื่น  สำหรับการปั่นด้าย,55,"Artificial fibers that have not been carded, combed or otherwise processed. for spinning"
เศษของเส้นใยประดิษฐ์ (รวมถึงเศษใยสางหรือหวี เศษด้ายและกลุ่มใยที่สางจากเศษวัตถุทำด้วยเส้นใยประดิษฐ์),55,scraps of artificial fibers (including lint or comb scraps of threads and filaments made from man-made fibers)
เส้นใยสังเคราะห์ที่สาง หวี หรือผ่านกรรมวิธีอย่างอื่นสำหรับการปั่นด้าย,55,"Synthetic fibers carded, combed or otherwise processed for spinning."
เส้นใยสั้นเทียมที่สาง หวี หรือผ่านกรรมวิธีอย่างอื่นสำหรับการปั่นด้าย                                                                                                                                                                                            ,55,"Artificial staple fibres, carded, combed or otherwise processed for spinning."
ด้ายเย็บทำด้วยเส้นใยสั้นประดิษฐ์ จะจัดทำขึ้นเพื่อการขายปลีกหรือไม่ก็ตาม,55,Sewing thread made of artificial short fibers whether or not put up for retail sale
ด้าย (นอกจากด้ายเย็บ) ทำด้วยเส้นใยสั้นสังเคราะห์ ไม่ได้จัดทำขึ้นเพื่อการขายปลีก,55,Yarn (other than sewing thread) of synthetic staple fibres. Not intended for retail sale.
ด้าย (นอกจากด้ายเย็บ) ทำด้วยเส้นใยสั้นเทียม  ไม่ได้จัดขึ้นเพื่อการขายปลีก,55,Yarn (other than sewing thread) of artificial staple fibres. not for retail sale
ด้าย (นอกจากด้ายเย็บ) ทำด้วยเส้นใยสั้นประดิษฐ์  จัดทำขึ้นเพื่อการขายปลีก,55,Yarn (other than sewing thread) of man-made staple fibres. made for retail sale
ผ้าทอทำด้วยเส้นใยสั้นสังเคราะห์ที่มีเส้นใยสั้นสังเคราะห์ตั้งแต่ร้อยละ 85 ขึ้นไปโดยน้ำหนัก,55,Woven fabrics of synthetic staple fibers containing 85% or more by weight of synthetic staple fibers.
ผ้าทอทำด้วยเส้นใยสั้นสังเคราะห์ที่มีเส้นใยดังกล่าวน้อยกว่าร้อยละ 85 โดยน้ำหนัก ผสมกับฝ้ายล้วนหรือเป็นส่วนใหญ่ และมีน้ำหนักไม่เกิน 170 กรัมต่อตารางเมตร,55,"Woven fabrics of synthetic staple fibers containing less than 85 % by weight of such fibers, blended wholly or mainly with cotton. and weighs no more than 170 grams per square meter"
ผ้าทอทำด้วยเส้นใยสั้นสังเคราะห์ที่มีเส้นใยดังกล่าวน้อยกว่าร้อยละ 85 โดยน้ำหนัก ผสมกับฝ้ายล้วนหรือเป็นส่วนใหญ่ และมีน้ำหนักเกิน 170 กรัมต่อตารางเมตร,55,"Woven fabrics of synthetic staple fibers containing less than 85 % by weight of such fibers, blended wholly or mainly with cotton. and weighing more than 170 grams per square meter"
ผ้าทออื่นๆ ทำด้วยเส้นใยสั้นสังเคราะห์ (นอกจากที่ระบุไว้ตามประเภทที่ 55.12 ถึง 55.14),55,Other woven fabrics of synthetic staple fibres. (other than those specified in headings 55.12 to 55.14)
ผ้าทอทำด้วยเส้นใยสั้นเทียม,55,Woven fabric made of artificial short fibres.
แวดดิ้งทาด้วยวัตถุทอและของทาด้วยแวดดิ้งดังกล่าว รวมทั้งเส้นใยสิ่งทอที่มีความยาวไม่เกิน 5 มิลลิเมตร (ฟล็อก) ผงสิ่งทอ และมิลเน็ป,56,"wadding of textile material and articles of such wadding including textile fibers of less than 5 mm in length (flocks), textile powders and milnaps."
สักหลาด จะอาบซึม เคลือบ หุ้มหรืออัดเป็นชั้นหรือไม่ก็ตาม,56,"Felt, whether or not impregnated, coated, covered or laminated."
ผ้าไม่ทอ จะอาบซึม เคลือบ หุ้มหรืออัดเป็นชั้นหรือไม่ก็ตาม,56,"Non-woven fabrics, whether or not impregnated, coated, covered or laminated."
ด้ายยางและด้ายยางชนิดคอร์ด ที่หุ้มด้วยสิ่งทอ รวมทั้งด้ายสิ่งทอ และแถบและของที่คล้ายกันตามประเภทที่ 54.04 หรือ 54.05 ที่อาบซึม เคลือบ หุ้มหรือหุ้มปลอกด้วยยางหรือพลาสติก,56,"Rubber thread and chord type rubber thread covered with textile including textile thread and band and similar articles of heading 54.04 or 54.05 impregnated, coated, covered or sheathed with rubber or plastics."
ด้ายที่มีโลหะอยู่ด้วย จะทำแบบกิมพ์หรือไม่ก็ตาม ที่เป็นด้ายสิ่งทอหรือแถบหรือของที่คล้ายกันตามประเภท 54.04 หรือ 54.05 ประกอบเข้ากับโลหะที่มีลักษณะเป็นเส้น แถบ หรือเป็นผง หรือหุ้มด้วยโลหะ                                                                        ,56,"thread with metal Gimp or not. textile yarn or strip or the like of heading 54.04 or 54.05, assembled with fibrous, strip or powder metal, or covered with metal"
ด้ายกิมพ์ และแถบและของที่คล้ายกันตามประเภท 54.04 หรือ 54.05 ที่ทำแบบกิมพ์ (นอกจากของตามประเภท 56.05 และด้ายกิมพ์ที่ทำด้วยขนม้า) ด้ายเชนิลล์ (รวมถึงด้ายฟล็อกเชนิลล์) และลูปเวลยาร์น                                                                             ,56,"Gimped yarn and strip and similar articles of heading 54.04 or 54.05, gimped. (other than those of heading 56.05 and gimped horsehair yarn), chenille yarn (including floxenille yarn) and velyarn loops."
เชือกชนิดทไวน์  ชนิดคอร์เดจ  ชนิดโรปและชนิดเคเบิล  จะถักตามยาวหรือถักแบบเปียหรือไม่ก็ตาม  และจะอาบซึม  เคลือบ  หุ้มหรือหุ้มปลอกด้วยยางหรือพลาสติก     หรือไม่ก็ตาม,56,"Twine, Cordage, Rope and Cable whether or not braided lengthwise or in a braid, and whether or not impregnated, coated, covered or sheathed with rubber or plastics"
ตาข่ายแบบผูกปมทำด้วยเชือกชนิดทไวน์ ชนิดคอร์เดจ หรือชนิดโรป รวมทั้งตาข่ายจับปลาและตาข่ายอื่นๆ ที่จัดทำแล้ว ทำด้วยวัตถุทอ,56,"Knotted nets of twine, cordage or rope; fishing nets and other worked nets, of textile material."
ของทำด้วยด้าย แถบหรือของที่คล้ายกันตามประเภท 54.04 หรือ 54.05 และของทำด้วยเชือกชนิดทไวน์ ชนิดคอร์เดจ ชนิดโรป หรือเคเบิล ที่ไม่ได้ระบุหรือรวมไว้ในที่อื่น ๆ                                                                                                      ,56,"thread Band or similar articles of heading 54.04 or 54.05 and articles of twine, cordage, rope or cable, not elsewhere specified or included."
พรมและสิ่งทอปูพื้นอื่นๆ ทำโดยวิธีผูกปม  จะจัดทำแล้วหรือไม่ก็ตาม,57,Carpets and other floor coverings made by tying a knot whether or not it has been made
"พรมและสิ่งทอปูพื้นอื่น ๆ ทำโดยวิธีทอ  ไม่ได้ทำปุยแบบทัฟต์หรือฟล็อก จะจัดทำแล้วหรือไม่ก็ตาม รวมถึง ""เคเลม"" ""ชูแม็ก"" ""คารามานี"" และพรมผืนทอด้วยมือที่คล้ายกัน",57,"Carpets and other floor coverings are woven, not tufted or flocked. including ""kelem"", ""chumag"", ""karamani"" and similar handwoven rugs."
พรมและสิ่งทอปูพื้นอื่นๆ ทำปุยแบบทัฟต์  จะจัดทำแล้วหรือไม่ก็ตาม,57,Carpets and other floor coverings make a fluffy taft whether or not it has been made
พรมและสิ่งทอปูพื้นอื่นๆ ทำด้วยสักหลาด  ไม่ได้ทำปุยแบบทัฟต์หรือแบบฟล็อก จะจัดทำแล้วหรือไม่ก็ตาม,57,Carpets and other floor coverings Felt Does not make fluff like a tuft or a flock. whether or not it has been made
พรมอื่น ๆ และสิ่งทอปูพื้นอื่น ๆ จะจัดทำแล้วหรือไม่ก็ตาม  (นอกจากพรมและสิ่งทอปูพื้นอื่นๆ ที่ระบุไว้ตามประเภทที่ 57.01 ถึง 57.04),57,"Other carpets and other textile floor coverings, whether or not made. (Aside from carpets and other floor coverings specified under headings 57.01 to 57.04)."
ผ้าทอมีขนแบบไพล์และแบบเชนิลล์ นอกจากผ้าตามประเภทที่ 58.02 หรือ 58.06,58,Pile and chenille weaves other than fabrics of heading 58.02 or 58.06
ผ้าทอแบบผ้าขนหนูและผ้าทอที่คล้ายกันนอกจากผ้าหน้าแคบตามประเภทที่  58.06  ผ้าสิ่งทอที่ทำปุยแบบทัฟต์  นอกจากผลิตภัณฑ์ตามประเภทที่  57.03  (พรมและ    สิ่งทอปูพื้นอื่น ๆ ทำปุยแบบทัฟต์),58,"Flannel woven fabrics and similar woven fabrics, other than narrow fabrics of heading 58.06; tufted textile fabrics. Other than products of heading 57.03 (carpets and other tufted floor coverings)."
ผ้าโปร่งนอกจากผ้าหน้าแคบตามประเภทที่ 58.06,58,"Gauze, other than narrow fabrics of heading 58.06."
ผ้าโปร่งชนิดทูลล์และผ้าตาข่ายอื่น ๆ ไม่รวมถึงผ้าทอและผ้าถักแบบนิตหรือแบบโครเชต์ แต่รวมถึงผ้าลูกไม้ที่เป็นผืน เป็นแถบ หรือเป็นลวดลายสำหรับใช้ประดับ นอกจากผ้าตามประเภทที่ 60.02 ถึง 60.06 (ผ้าถักแบบนิตหรือแบบโครเชต์ และผ้าถักแบบวาร์พนิต),58,"Tulles and other nets, excluding woven and knitted or crocheted fabrics. But including lace fabric that is a piece, a strip or a pattern for decoration Other than fabrics of headings 60.02 to 60.06 (knitted or crocheted fabrics). and warp-knit fabrics)"
เทเพสทรีทอด้วยมือชนิดโกบีลิน ฟลานเดอร์ ออบัสซัน บิวเวียส และชนิดที่คล้ายกัน  รวมทั้งเทเพสทรีที่ปักลวดลาย  (เช่น  แบบเพทิตพ้อยต์ แบบครอสสติตซ์ เป็นต้น)  จะจัดทำแล้วหรือไม่ก็ตาม,58,"Hand-woven tapestry of the kind Gobilin, Flanders, Aubusson, Beuvius and the like. including embroidered tapestries (e.g., petit point designs, cross-stitch patterns, etc.), whether or not made."
ผ้าทอหน้าแคบ นอกจากของตามประเภทที่ 58.07  ผ้าหน้าแคบที่มีด้ายยืนโดยไม่มีด้ายพุ่งประกอบเข้าด้วยกัน โดยใช้สารยึดติด (บอลดัก),58,"Narrow woven fabrics, other than those of heading 58.07, narrow woven fabrics with warp without weft joined together. using an adhesive (ball trap)"
ป้าย ตรา และของที่คล้ายกัน  ทำด้วยวัตถุทอ เป็นผืน เป็นแถบ ตัดเป็นรูปทรงหรือตัดตามขนาด ไม่ได้ปัก,58,"Signs, badges and similar articles Of textile materials, in the piece, in strips, cut to shape or cut to size, not embroidered."
แถบถักแบบเปียเป็นผืน ผ้าที่ใช้ตกแต่งเป็นผืนซึ่งไม่ได้ปัก  และไม่ได้ถักแบบนิตหรือแบบโครเชต์ รวมทั้งพู่ ตุ้ม และของที่คล้ายกัน,58,"braided strips Decorative fabrics are unembroidered pieces. and not knitted or crocheted; tassels, pompons and the like."
ผ้าทอทำด้วยด้ายโลหะและผ้าทอทำด้วยด้ายที่มีโลหะอยู่ด้วยตามประเภท 56.05 ชนิดที่ใช้กับเครื่องแต่งกาย ใช้เป็นผ้าตกแต่งหรือเพื่อวัตถุประสงค์ที่คล้ายกัน ที่ไม่ได้ระบุหรือรวมไว้ในที่อื่น                                                                             ,58,"Woven fabrics of metal thread and woven fabrics of metal thread of heading 56.05, of a kind used for clothing. Used as a decorative fabric or for similar purposes. not specified or included elsewhere."
ผ้าปัก เป็นผืน เป็นแถบหรือเป็นชิ้นลวดลาย,58,"Embroidered fabric, in pieces, in stripes or in patterned pieces."
ผลิตภัณฑ์สิ่งทอที่บุนวม เป็นผืน มีวัตถุทอตั้งแต่หนึ่งชั้นขึ้นไป ประกอบเข้ากับแผ่นนวมโดยการเย็บติดหรือโดยวิธีอื่น นอกจากผ้าปักตามประเภทที่ 58.10  (ผ้าปักเป็นผืน เป็นแถบหรือเป็นชิ้นลวดลาย),58,"Padded textile products, in pieces, containing one or more layers of textile materials. Attached to the duvet cover by sewing or other methods. other than embroidery of heading 58.10 (embroidery in the piece stripes or patterned pieces)"
ผ้าสิ่งทอที่เคลือบด้วยกัมหรือสารจำพวกอะมิเลเซียส ชนิดที่ใช้หุ้มปกหนังสือหรือที่คล้ายกัน ผ้าลอกลาย ผ้าใบที่จัดทำไว้สำหรับระบายสี รวมทั้งผ้าแข็งซับในและผ้าแข็งที่คล้ายกัน  ชนิดที่ใช้สำหรับทำพื้นทรงหมวก,59,"textile fabric coated with gum or amylesius Of a kind used for covering book covers or the like, tracing cloth, canvas prepared for coloring liners and similar stiff fabrics. The kind used for making the base of the hat shape."
ผ้าใบยางรถ (ผ้าไทร์คอร์ด) ทำด้วยด้ายทนแรงดึงสูง ซึ่งทำด้วยไนลอนหรือโพลิอะไมด์อื่น ๆ  ทำด้วยโพลิเอสเทอร์หรือวิสโคสเรยอน,59,Tire canvas (tycord fabric) is made with high tensile thread. of nylon or other polyamides of polyester or viscose rayon
ผ้าสิ่งทอที่อาบซึม เคลือบ หุ้มหรืออัดเป็นชั้นด้วยพลาสติก นอกจากของตามประเภทที่ 59.02 (ผ้าใบยางรถ ทำด้วยด้ายทนแรงดึงสูง ซึ่งทำด้วยไนลอนหรือโพลิอะไมด์อื่นๆ ทำด้วยโพลิเอสเทอร์หรือวิสโคสเรยอน),59,"Textile fabrics impregnated, coated, covered or laminated with plastics. Other than those of heading 59.02 (tyre tarps, of high tensile yarn made of nylon or other polyamides made with polyester or viscose rayon)"
พรมน้ำมัน จะตัดให้เป็นรูปทรงหรือไม่ก็ตาม รวมทั้งสิ่งปูพื้นที่ทำโดยการเคลือบหรือหุ้มแผ่นรองรับที่เป็นสิ่งทอ จะตัดให้เป็นรูปทรงหรือไม่ก็ตาม,59,"Linoleum, whether or not cut to shape including floor coverings made by coating or covering a textile backing. whether or not cut to shape"
สิ่งปิดผนังทำด้วยสิ่งทอ,59,textile wall covering
ผ้าสิ่งทอปนยาง  นอกจากของตามประเภทที่ 59.02  (ผ้าใบยางรถ ทำด้วยด้ายทนแรงดึงสูง ซึ่งทำด้วยไนลอนหรือโพลิอะไมค์อื่น ทำด้วยโพลิเอสเทอร์หรือวิสโคสเรยอน),59,rubberized textile fabric Other than those of heading 59.02 (tyre tarpaulins of high tensile yarn of nylon or other polyamide made with polyester or viscose rayon)
ผ้าสิ่งทอ ที่อาบซึม เคลือบหรือหุ้มด้วยของอื่น ๆ (นอกจากของตามประเภทที่ 59.01 ถึง 59.06) ผ้าใบที่ระบายสีเป็นฉากละคร  ฉากในห้องศิลป์หรือที่คล้ายกัน,59,"Textile fabrics impregnated, coated or covered with other articles (other than those of headings 59.01 to 59.06); theatrical painted canvases. Art room scene or similar"
ไส้ที่เป็นสิ่งทอ ได้จากการทอ ถักตามยาวหรือถักแบบนิต สำหรับใช้กับตะเกียง เตา เครื่องขีดไฟ เทียน หรือที่คล้ายกัน รวมทั้งไส้ตะเกียงเจ้าพายุ และผ้าที่ถักแบบนิตเป็นทรงกระบอกสำหรับทำไส้ตะเกียง จะอาบซึมหรือไม่ก็ตาม,59,"Textile filaments obtained by woven, plaited or knitted. For use with lamps, stoves, lighters, candles or the like. Including the wick of the storm and a cylindrical knitted fabric for making wicks. whether or not to be absorbed"
ท่ออ่อนและท่อที่คล้ายกัน ทำด้วยสิ่งทอ จะบุด้านในหรือหุ้มให้แข็งแรงด้วยวัตถุอื่น หรือจะมีอุปกรณ์ประกอบที่เป็นวัตถุอื่นด้วยหรือไม่ก็ตาม,59,"Textile hoses and similar hoses, whether lined or reinforced with other materials. or whether there will be accessories that are other objects as well or not"
สายพานส่งกำลัง สายพานลำเลียง หรือของที่ใช้เป็นสายพาน ทำด้วยวัตถุทอ จะอาบซึมเคลือบ หุ้มหรืออัดเป็นชั้นด้วยพลาสติก หรือจะเสริมให้แข็งแรงด้วยโลหะหรือวัตถุอื่นหรือไม่ก็ตาม                                                                                         ,59,power transmission belt conveyor belt or something used as a belt made of woven material will soak up the coating covered or layered with plastic or whether or not to be strengthened with metal or other materials
ผลิตภัณฑ์และของที่ทำด้วยสิ่งทอ เพื่อใช้ทางเทคนิค  ตามที่ระบุในหมายเหตุ 7 ของตอนที่ 59,59,Textile products and articles for technical use As stated in Note 7 to Chapter 59.
"ผ้าที่มีขนแบบไพล์ รวมถึงผ้ามีขนแบบ ""ลองไพล์"" และผ้าแบบผ้าขนหนู ที่ถักแบบนิตหรือแบบโครเชต์",60,"pile fabric Including ""long pile"" and terry toweling fabrics. knitted or crocheted"
ผ้าถักแบบนิตหรือแบบโครเชต์ มีความกว้างไม่เกิน 30เซนติเมตร และมีด้ายยืดหรือด้ายยางตั้งแต่ร้อยละ 5 ขึ้นไปโดยน้ำหนัก นอกจากของตามประเภทที่ 60.01,60,Knitted or crocheted fabrics of a width not exceeding 30 centimeters and containing elastic thread or rubber thread of 5% or more by weight. other than those of heading 60.01
ผ้าถักแบบนิตหรือแบบโครเชต์ มีความกว้างไม่เกิน 30เซนติเมตรนอกจากของตามประเภทที่ 60.01 หรือ 60.02,60,Knitted or crocheted fabrics not more than width 30 cm other than those of heading 60.01 or 60.02.
"ผ้าถักแบบนิตหรือแบบโครเชต์ มีความกว้างเกิน 30 เซนติเมตร  และมีด้ายยืดหรือด้ายยางตั้งแต่ร้อยละ 5 ขึ้นไปโดยน้ำหนัก  นอกจากของตามประเภทที่ 60.01 หรือ 60.01  (ผ้าที่มีขนแบบไพล์ รวมถึงผ้ามีขนแบบ ""ลองไพล์""  และผ้าแบบผ้าขนหนู ที่ถักแบบนิตหรือแบบโครเชต์)",60,"Knitted or crocheted fabrics of a width exceeding 30 centimeters and containing 5% or more of elastic thread or rubber thread by weight. other than those of heading 60.01 or 60.01 (pile fabrics Including ""long pile"" and terry toweling fabrics. knitted or crocheted)"
ผ้าถักแบบวาร์พนิต (รวมถึงผ้าดังกล่าวที่ทําจากเครื่องถักนิตแบบแกลลูน) นอกจากของตามประเภทที่ 60.01 ถึง 60.04,60,"warp knit fabric (including such fabrics made on galloon knitting machines), other than those of headings 60.01 to 60.04."
ผ้าอื่น ๆ ถักแบบนิตหรือแบบโครเชต์ (นอกจากของตามประเภทที่ 60.01 ถึง 60.05),60,"Other fabrics, knitted or crocheted. (other than goods of headings 60.01 to 60.05)"
เสื้อโอเวอร์โค้ต  คาร์โค้ต  เคป  โคล้ก  อาโนรัก  (รวมถึงแจ็กเก็ตที่ใส่เล่นสกี)  เสื้อกันลม  แจ็กเก็ตกันลม  และเสื้อคลุมที่คล้ายกันของบุรุษหรือเด็กชาย  ถักแบบนิตหรือแบบโครเชต์  นอกจากของตามประเภทที่ 61.03,61,"Overcoats, car coats, capes, cloaks, anoraks (including ski jackets), windbreakers, windbreaker jackets. and similar coats of men or boys. Knitted or crocheted other than those of heading 61.03"
เสื้อโอเวอร์โค้ต  คาร์โค้ต  เคป  โคล้ก  อาโนรัก  (รวมถึงแจ็กเก็ตที่ใส่เล่นสกี)  เสื้อกันลม  แจ็กเก็ตกันลม  และเสื้อคลุมที่คล้ายกันของสตรีหรือเด็กหญิง  ถักแบบนิตหรือแบบโครเชต์ นอกจากของตามประเภทที่ 61.04,61,"Overcoats, car coats, capes, cloaks, anoraks (including ski jackets), windbreakers, windbreaker jackets. and similar women's or girls' coats. Knitted or crocheted other than those of heading 61.04"
สูท เครื่องแต่งตัวเป็นชุด เสื้อแจ็กเก็ต เสื้อเบลเซอร์ กางเกงขายาว ชุดหมีที่มีเอี๊ยมและสายโยง กางเกงขาสามส่วน กางเกงขาสั้น (นอกจากชุดว่ายน้ำ) ของบุรุษหรือเด็กชาย ถักแบบนิตหรือแบบโครเชต์,61,"suit jacket Blazer, pants, jumpsuit with bib and brace. breeches, shorts (other than swimwear) of men or boys Knitted or crocheted"
สูท  เครื่องแต่งตัวเป็นชุด  แจ็กเก็ต  เสื้อเบลเซอร์  เสื้อกระโปรงชุด  กระโปรง  กระโปรงกางเกง  กางเกงขายาว  ชุดหมีที่มีเอี๊ยมและสายโยง  กางเกงขาสามส่วน และกางเกงขาสั้น (นอกจากชุดว่ายน้ำ) ของสตรีหรือเด็กหญิง ถักแบบนิตหรือแบบโครเชต์,61,"Suits, ensemble, jackets, blazers Dress shirts, skirts, skirts, trousers, trousers, overalls with bibs and braces. three-quarter pants and shorts (other than swimwear) of women or girls Knitted or crocheted"
เชิ้ตของบุรุษหรือเด็กชาย ถักแบบนิตหรือแบบโครเชต์,61,Men's or boys' shirts Knitted or crocheted
เสื้อเบลาส์ เชิ้ต และเชิ้ตเบลาส์ของสตรีหรือเด็กหญิง ถักแบบนิตหรือแบบโครเชต์,61,"Women's or girls' blouses, shirts and blouses. Knitted or crocheted"
กางเกงชั้นใน กางเกงชั้นในชนิดบรีฟ ไนท์เชิ้ต พิจามา เสื้อคลุมอาบน้ำ เสื้อคลุมแต่งตัวและของที่คล้ายกันของบุรุษหรือเด็กชาย ถักแบบนิตหรือแบบโครเชต์,61,"Panties, briefs, nightshirt, pijama, bathrobe Men's or boys' coats and similar articles Knitted or crocheted"
ชุดชั้นในชนิดสลิป กระโปรงชั้นใน กางเกงชั้นในชนิดบรีฟ กางเกงชั้นใน ชุดนอนยาว พิจามา เสื้อคลุมชนิดเนกลีเชย์ เสื้อคลุมอาบน้า เสื้อคลุมแต่งตัว และของที่คล้ายกัน ของสตรีหรือเด็กหญิง ถักแบบนิตหรือแบบโครเชต์,61,"slip type underwear petticoat Briefs, panties, nightgowns, pijamas, negligee robes. bathrobe dressing gown and similar items of women or girls Knitted or crocheted"
